"System","Classification","File","PrimaryRole","SecondaryRoles","RuntimeHooks","SerializedState","Gumps","ConfigData","VerificationStatus"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/ApricotTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:ApricotTreeSeed;class:ApricotSapling;class:ApricotTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/AsparagusCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:AsparagusSeed;class:AsparagusSeedling;class:AsparagusCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/AvocadoCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:AvocadoTreeSeed;class:AvocadoSapling;class:AvocadoTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BananaTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:BananaTreeSeed;class:BananaSapling;class:BananaTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BeetCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:BeetSeed;class:BeetSeedling;class:BeetCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BitterHopsCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:BitterHopsSeed;class:BitterHopsSeedling;class:BitterHopsCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BlackberryCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:BlackberryTreeSeed;class:BlackberrySapling;class:BlackberryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BlackRaspberryCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:BlackRaspberryTreeSeed;class:BlackRaspberrySapling;class:BlackRaspberryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BlueberryCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:BlueberryTreeSeed;class:BlueberrySapling;class:BlueberryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/BroccoliCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:BroccoliSeed;class:BroccoliSeedling;class:BroccoliCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CabbageCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CabbageSeed;class:CabbageSeedling;class:CabbageCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CantaloupeCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CantaloupeSeed;class:CantaloupeSeedling;class:CantaloupeCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CarrotCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CarrotSeed;class:CarrotSeedling;class:CarrotCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CauliflowerCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CauliflowerSeed;class:CauliflowerSeedling;class:CauliflowerCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CeleryCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CelerySeed;class:CelerySeedling;class:CeleryCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CherryTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CherryTreeSeed;class:CherrySapling;class:CherryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/ChiliPepperCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:ChiliPepperSeed;class:ChiliPepperSeedling;class:ChiliPepperCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CocoaTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CocoaTreeSeed;class:CocoaSapling;class:CocoaTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CoconutPalm.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CoconutTreeSeed;class:CoconutSapling;class:CoconutTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CoffeeCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CoffeeSeed;class:CoffeeSeedling;class:CoffeeCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CornCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CornSeed;class:CornSeedling;class:CornCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CottonCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:CottonSeed;class:CottonSeedling;class:CottonCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CranberryCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CranberryTreeSeed;class:CranberrySapling;class:CranberryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/CucumberCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:CucumberSeed;class:CucumberSeedling;class:CucumberCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/DatePalm.cs","StartupWiring","Persistence","CustomTimerSubclass","class:DateTreeSeed;class:DateSapling;class:DateTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/EggplantCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:EggplantSeed;class:EggplantSeedling;class:EggplantCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/ElvenHopsCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:ElvenHopsSeed;class:ElvenHopsSeedling;class:ElvenHopsCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/FieldCornCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:FieldCornSeed;class:FieldCornSeedling;class:FieldCornCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/FlaxCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:FlaxSeed;class:FlaxSeedling;class:FlaxCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GarlicCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:GarlicSeed;class:GarlicSeedling;class:GarlicCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GingerCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:GingerSeed;class:GingerSeedling;class:GingerCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GinsengCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:GinsengSeed;class:GinsengSeedling;class:GinsengCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GrapefruitTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:GrapefruitTreeSeed;class:GrapefruitSapling;class:GrapefruitTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GreenBeanCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:GreenBeanSeed;class:GreenBeanSeedling;class:GreenBeanCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GreenPepperCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:GreenPepperSeed;class:GreenPepperSeedling;class:GreenPepperCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/GreenSquashCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:GreenSquashSeed;class:GreenSquashSeedling;class:GreenSquashCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/HayCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:HaySeed;class:HaySeedling;class:HayCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/HoneydewMelonCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:HoneydewMelonSeed;class:HoneydewMelonSeedling;class:HoneydewMelonCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/KiwiCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:KiwiSeed;class:KiwiSeedling;class:KiwiCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/LemonTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:LemonTreeSeed;class:LemonSapling;class:LemonTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/LettuceCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:LettuceSeed;class:LettuceSeedling;class:LettuceCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/LimeTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:LimeTreeSeed;class:LimeSapling;class:LimeTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/MandrakeCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:MandrakeSeed;class:MandrakeSeedling;class:MandrakeCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/MangoTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:MangoTreeSeed;class:MangoSapling;class:MangoTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/NightshadeCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:NightshadeSeed;class:NightshadeSeedling;class:NightshadeCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/OatsCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:OatsSeed;class:OatsSeedling;class:OatsCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/OnionCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:OnionSeed;class:OnionSeedling;class:OnionCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/OrangePepperCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:OrangePepperSeed;class:OrangePepperSeedling;class:OrangePepperCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/OrangeTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:OrangeTreeSeed;class:OrangeSapling;class:OrangeTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PeachTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PeachTreeSeed;class:PeachSapling;class:PeachTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PeanutCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:PeanutSeed;class:PeanutSeedling;class:PeanutCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PearTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PearTreeSeed;class:PearSapling;class:PearTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PeasCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:PeasSeed;class:PeasSeedling;class:PeasCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PineappleTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PineappleTreeSeed;class:PineappleSapling;class:PineappleTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PistacioCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PistacioTreeSeed;class:PistacioSapling;class:PistacioTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PlumTree.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PlumTreeSeed;class:PlumSapling;class:PlumTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PomegranateCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:PomegranateTreeSeed;class:PomegranateSapling;class:PomegranateTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PotatoCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:PotatoSeed;class:PotatoSeedling;class:PotatoCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/PumpkinCrop.cs","StartupWiring","Persistence;CombatPolicy","CustomTimerSubclass","class:PumpkinSeed;class:PumpkinSeedling;class:PumpkinCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/RadishCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:RadishSeed;class:RadishSeedling;class:RadishCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/RedPepperCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:RedPepperSeed;class:RedPepperSeedling;class:RedPepperCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/RedRaspberryCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:RedRaspberryTreeSeed;class:RedRaspberrySapling;class:RedRaspberryTree;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/RiceCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:RiceSeed;class:RiceSeedling;class:RiceCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SnowHopsCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SnowHopsSeed;class:SnowHopsSeedling;class:SnowHopsCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SnowPeasCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SnowPeasSeed;class:SnowPeasSeedling;class:SnowPeasCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SoyCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SoySeed;class:SoySeedling;class:SoyCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SpinachCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SpinachSeed;class:SpinachSeedling;class:SpinachCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SquashCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:SquashSeed;class:SquashSeedling;class:SquashCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/StrawberryCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:StrawberrySeed;class:StrawberrySeedling;class:StrawberryCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SugarCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SugarSeed;class:SugarSeedling;class:SugarCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SunFlowerCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SunFlowerSeed;class:SunFlowerSeedling;class:SunFlowerCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SweetHopsCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SweetHopsSeed;class:SweetHopsSeedling;class:SweetHopsCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/SweetPotatoCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:SweetPotatoSeed;class:SweetPotatoSeedling;class:SweetPotatoCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/TeaCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:TeaSeed;class:TeaSeedling;class:TeaCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/TomatoCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:TomatoSeed;class:TomatoSeedling;class:TomatoCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/TurnipCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:TurnipSeed;class:TurnipSeedling;class:TurnipCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/WatermelonCrop.cs","StartupWiring","Persistence","CustomTimerSubclass","class:WatermelonSeed;class:WatermelonSeedling;class:WatermelonCrop;class:FruitTimer;class:StumpTimer","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Crops/WheatCrop.cs","StartupWiring","GumpUI;Persistence","CustomTimerSubclass","class:WheatSeed;class:WheatSeedling;class:WheatCrop;class:CropTimer","SendGump","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Gumps/UpRootGump.cs","GumpUI","","","","OnResponse","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Mobiles/Gardener.cs","Persistence","","","class:Gardener","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Mobiles/SBGardener.cs","Unknown","","","","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfCocoa.cs","Persistence","","","class:BagOfCocoa","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfCoffee.cs","Persistence","","","class:BagOfCoffee","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfCornmeal.cs","Persistence","","","class:BagOfCornmeal","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfOats.cs","Persistence","","","class:BagOfOats","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfRicemeal.cs","Persistence","","","class:BagOfRicemeal","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfSoy.cs","Persistence","","","class:BagOfSoy","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BagOfSugar.cs","Persistence","","","class:BagOfSugar","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/BasketOfHerbs.cs","Persistence","","","class:BasketOfHerbs","","","PartiallyVerified"
"Homestead","ImportedPackage","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Other/CocoaNut.cs","Persistence","","","class:CocoaNut","","","PartiallyVerified"
